Country:varchar,Capital:varchar,Population:int
Ethiopia,Addis Ababa,104957438
Federated States of Micronesia,Palikir,105544
Fiji,Suva,905502
Finland,Helsinki,5523231
France,Paris,64979548
Gabon,Libreville,2025137
Georgia,Tbilisi,3912061
Germany,Berlin,82114224
Ghana,Accra,28833629
Greece,Athens,11159773
