Country:varchar,Capital:varchar,Population:int
Turkmenistan,Ashgabat,5758075
Tuvalu,Funafuti,11192
Uganda,Kampala,42862958
Ukraine,Kiev,44222947
United Arab Emirates,Abu Dhabi,9400145
United Kingdom,London,66181585
United States,Washington D.C.,324459463
Uruguay,Montevideo,3456750
Uzbekistan,Tashkent,31910641
Vanuatu,Port Vila,276244
