Country:varchar,Capital:varchar,Population:int
Peru,Lima,32165485
Philippines,Manila,104918090
Poland,Warsaw,38170712
Portugal,Lisbon,10329506
Qatar,Doha,2639211
Republic of Macedonia,Skopje,2083160
Romania,Bucharest,19679306
Russia,Moscow,143989754
Rwanda,Kigali,12208407
Saint Kitts & Nevis,Basseterre,55345
